# Setpoints,Voltages
3.340000000000000000e+02,2.662645499999999887e-01
3.350000000000000000e+02,2.671171999999999436e-01
3.360000000000000000e+02,2.679156999999999789e-01
3.370000000000000000e+02,2.687534500000000603e-01
3.380000000000000000e+02,2.695256000000000318e-01
3.390000000000000000e+02,2.703469499999999748e-01
3.400000000000000000e+02,2.711575999999999986e-01
3.410000000000000000e+02,2.719590000000000063e-01
3.420000000000000000e+02,2.727794500000000344e-01
3.430000000000000000e+02,2.736333499999999974e-01
3.440000000000000000e+02,2.744205499999999853e-01
3.450000000000000000e+02,2.752618000000000009e-01
3.460000000000000000e+02,2.760720499999999578e-01
3.470000000000000000e+02,2.768878999999999646e-01
3.480000000000000000e+02,2.777140999999999638e-01
3.490000000000000000e+02,2.785563999999999818e-01
3.500000000000000000e+02,2.793515999999999777e-01
3.510000000000000000e+02,2.801513500000000212e-01
3.520000000000000000e+02,2.809745499999999341e-01
3.530000000000000000e+02,2.818092500000000111e-01
3.540000000000000000e+02,2.826065999999999856e-01
3.550000000000000000e+02,2.834420000000000273e-01
3.560000000000000000e+02,2.842494000000000409e-01
3.570000000000000000e+02,2.850579499999999489e-01
3.580000000000000000e+02,2.858365999999999962e-01
3.590000000000000000e+02,2.866670999999999525e-01
3.600000000000000000e+02,2.875063500000000216e-01
3.610000000000000000e+02,2.883059499999999220e-01
3.620000000000000000e+02,2.890973000000000015e-01
3.630000000000000000e+02,2.899202500000001015e-01
3.640000000000000000e+02,2.907421999999999507e-01
3.650000000000000000e+02,2.915653000000000272e-01
3.660000000000000000e+02,2.924020500000000244e-01
3.670000000000000000e+02,2.932118499999999406e-01
3.680000000000000000e+02,2.940334500000000295e-01
3.690000000000000000e+02,2.948243000000000391e-01
3.700000000000000000e+02,2.956251499999999477e-01
3.710000000000000000e+02,2.964472000000000218e-01
3.720000000000000000e+02,2.972165499999999128e-01
3.730000000000000000e+02,2.980400999999999190e-01
3.740000000000000000e+02,2.988748499999999697e-01
3.750000000000000000e+02,2.996916499999999761e-01
3.760000000000000000e+02,3.005118999999999430e-01
3.770000000000000000e+02,3.013346499999999817e-01
3.780000000000000000e+02,3.021686500000000386e-01
3.790000000000000000e+02,3.029672499999999657e-01
3.800000000000000000e+02,3.037804499999999797e-01
3.810000000000000000e+02,3.045945499999999639e-01
3.820000000000000000e+02,3.054157999999999595e-01
3.830000000000000000e+02,3.062497499999999873e-01
3.840000000000000000e+02,3.071154500000000120e-01
3.850000000000000000e+02,3.078558499999999865e-01
3.860000000000000000e+02,3.086610500000000479e-01
3.870000000000000000e+02,3.094189999999999996e-01
3.880000000000000000e+02,3.101540000000000408e-01
3.890000000000000000e+02,3.108800500000000189e-01
3.900000000000000000e+02,3.116498500000000060e-01
3.910000000000000000e+02,3.124544500000000502e-01
3.920000000000000000e+02,3.132143000000000010e-01
3.930000000000000000e+02,3.139382999999999480e-01
3.940000000000000000e+02,3.147207000000000199e-01
3.950000000000000000e+02,3.155222999999999778e-01
3.960000000000000000e+02,3.162589499999999831e-01
3.970000000000000000e+02,3.169574000000000003e-01
3.980000000000000000e+02,3.177131000000000260e-01
3.990000000000000000e+02,3.184872500000000550e-01
4.000000000000000000e+02,3.192388000000000448e-01
4.010000000000000000e+02,3.200081999999999649e-01
4.020000000000000000e+02,3.207453000000000110e-01
4.030000000000000000e+02,3.215285999999999977e-01
4.040000000000000000e+02,3.223229999999999706e-01
4.050000000000000000e+02,3.230662499999999993e-01
4.060000000000000000e+02,3.238647000000000054e-01
4.070000000000000000e+02,3.246501999999999444e-01
4.080000000000000000e+02,3.253537000000000234e-01
4.090000000000000000e+02,3.261215499999999823e-01
4.100000000000000000e+02,3.268708499999999906e-01
4.110000000000000000e+02,3.276279500000000011e-01
4.120000000000000000e+02,3.284233500000000583e-01
4.130000000000000000e+02,3.291744499999999518e-01
4.140000000000000000e+02,3.299258999999999942e-01
4.150000000000000000e+02,3.306641499999999345e-01
4.160000000000000000e+02,3.314635000000000220e-01
4.170000000000000000e+02,3.321937500000000099e-01
4.180000000000000000e+02,3.329680000000000417e-01
4.190000000000000000e+02,3.337210999999999372e-01
4.200000000000000000e+02,3.344439499999999899e-01
4.210000000000000000e+02,3.352072999999999303e-01
4.220000000000000000e+02,3.359663000000000510e-01
4.230000000000000000e+02,3.367273499999999808e-01
4.240000000000000000e+02,3.375136499999999429e-01
4.250000000000000000e+02,3.383112500000000078e-01
4.260000000000000000e+02,3.390435999999999450e-01
4.270000000000000000e+02,3.397987500000000383e-01
4.280000000000000000e+02,3.405450500000000158e-01
4.290000000000000000e+02,3.413006500000000942e-01
4.300000000000000000e+02,3.421418499999999696e-01
4.310000000000000000e+02,3.428579499999999669e-01
4.320000000000000000e+02,3.436350499999999974e-01
4.330000000000000000e+02,3.443756999999999513e-01
4.340000000000000000e+02,3.451713499999999879e-01
4.350000000000000000e+02,3.459582499999999672e-01
4.360000000000000000e+02,3.466689500000000312e-01
4.370000000000000000e+02,3.474628000000000716e-01
4.380000000000000000e+02,3.482598999999999556e-01
4.390000000000000000e+02,3.490087499999999787e-01
4.400000000000000000e+02,3.497773499999999869e-01
4.410000000000000000e+02,3.504866500000000662e-01
4.420000000000000000e+02,3.512634499999999771e-01
4.430000000000000000e+02,3.519861999999999713e-01
4.440000000000000000e+02,3.527264499999999137e-01
4.450000000000000000e+02,3.534962499999999563e-01
4.460000000000000000e+02,3.542547500000000071e-01
4.470000000000000000e+02,3.550584000000000517e-01
4.480000000000000000e+02,3.558503000000000083e-01
4.490000000000000000e+02,3.567002499999999965e-01
4.500000000000000000e+02,3.575433499999999265e-01
4.510000000000000000e+02,3.583425499999999264e-01
4.520000000000000000e+02,3.591489999999999960e-01
4.530000000000000000e+02,3.599971499999999880e-01
4.540000000000000000e+02,3.608057500000000362e-01
4.550000000000000000e+02,3.616289500000000046e-01
4.560000000000000000e+02,3.624829999999999997e-01
4.570000000000000000e+02,3.633186499999999652e-01
4.580000000000000000e+02,3.641672999999999716e-01
4.590000000000000000e+02,3.650146500000000516e-01
4.600000000000000000e+02,3.658156499999999922e-01
4.610000000000000000e+02,3.666493000000000668e-01
4.620000000000000000e+02,3.674877500000000019e-01
4.630000000000000000e+02,3.683226500000000292e-01
4.640000000000000000e+02,3.691216499999999678e-01
4.650000000000000000e+02,3.700158999999999532e-01
4.660000000000000000e+02,3.708466999999999736e-01
